condition,temperature,problem_idx,k,n_correct,n_distinct_text,n_distinct_path,gen_elapsed_seconds
baseline_T1.0,1.0,0,10,10,10,5,24.66337299346924
baseline_T1.0,1.0,1,10,10,10,4,19.980223894119263
baseline_T1.0,1.0,2,10,10,10,10,35.73132014274597
baseline_T1.0,1.0,3,10,10,10,4,19.881466150283813
baseline_T1.0,1.0,4,10,10,10,7,29.982726335525513
baseline_T1.0,1.0,5,10,10,10,10,33.58198809623718
baseline_T1.0,1.0,6,10,10,10,5,22.505367755889893
baseline_T1.0,1.0,7,10,10,10,10,38.93236303329468
baseline_T1.0,1.0,8,10,10,10,10,59.52558183670044
baseline_T1.0,1.0,9,10,10,10,8,29.199230194091797
baseline_T1.0,1.0,10,10,10,10,8,30.68482804298401
baseline_T1.0,1.0,11,10,10,9,3,28.18629503250122
baseline_T1.0,1.0,12,10,5,5,5,42.489234924316406
baseline_T1.0,1.0,13,10,10,10,5,42.573381185531616
baseline_T1.0,1.0,14,10,10,10,9,29.890697956085205
baseline_T1.0,1.0,15,10,10,10,10,34.09493803977966
baseline_T1.0,1.0,16,10,10,10,10,30.52459192276001
baseline_T1.0,1.0,17,10,10,10,7,30.022170066833496
baseline_T1.0,1.0,18,10,10,10,7,22.962958812713623
baseline_T1.0,1.0,19,10,10,10,10,31.737350940704346
baseline_T1.0,1.0,20,10,10,10,6,40.702330112457275
baseline_T1.0,1.0,21,10,10,10,9,22.37218689918518
baseline_T1.0,1.0,22,10,10,10,7,23.57678508758545
baseline_T1.0,1.0,23,10,10,10,8,20.351528882980347
baseline_T1.0,1.0,24,10,10,10,8,29.799758195877075
baseline_T1.5,1.5,0,10,10,10,9,24.822738885879517
baseline_T1.5,1.5,1,10,10,10,8,19.153968811035156
baseline_T1.5,1.5,2,10,10,10,10,34.79340600967407
baseline_T1.5,1.5,3,10,10,10,4,21.990211963653564
baseline_T1.5,1.5,4,10,10,10,8,29.716495752334595
baseline_T1.5,1.5,5,10,10,10,10,40.15526509284973
baseline_T1.5,1.5,6,10,10,10,5,24.312959909439087
baseline_T1.5,1.5,7,10,9,9,9,38.44182515144348
baseline_T1.5,1.5,8,10,10,10,10,41.19084596633911
baseline_T1.5,1.5,9,10,10,10,9,27.343512058258057
baseline_T1.5,1.5,10,10,10,10,9,30.2611780166626
baseline_T1.5,1.5,11,10,10,10,6,29.095158100128177
