condition,temperature,problem_idx,k,n_correct,n_distinct_text,n_distinct_path,gen_elapsed_seconds
trained_T1.5,1.5,0,10,10,10,10,54.361971855163574
trained_T1.5,1.5,1,10,10,10,8,67.21080207824707
trained_T1.5,1.5,2,10,9,9,9,77.92867398262024
trained_T1.5,1.5,3,10,10,10,8,70.71059989929199
trained_T1.5,1.5,4,10,10,10,9,72.2230818271637
trained_T1.5,1.5,5,10,10,10,10,81.3752167224884
trained_T1.5,1.5,6,10,10,10,8,29.982640027999878
trained_T1.5,1.5,7,10,6,6,6,47.99846601486206
trained_T1.5,1.5,8,10,10,10,10,67.79135203361511
trained_T1.5,1.5,9,10,10,10,9,71.47875595092773
trained_T1.5,1.5,10,10,10,10,10,82.85961079597473
trained_T1.5,1.5,11,10,10,10,5,65.87146711349487
trained_T1.5,1.5,12,10,3,3,3,96.31406116485596
trained_T1.5,1.5,13,10,10,10,9,84.23521995544434
trained_T1.5,1.5,14,10,10,10,10,56.932557821273804
trained_T1.5,1.5,15,10,10,10,10,81.75974678993225
trained_T1.5,1.5,16,10,10,10,10,66.96435713768005
trained_T1.5,1.5,17,10,9,9,9,67.64201807975769
trained_T1.5,1.5,18,10,9,9,8,82.37537503242493
trained_T1.5,1.5,19,10,10,10,10,42.94075274467468
trained_T1.5,1.5,20,10,9,9,9,49.99199295043945
trained_T1.5,1.5,21,10,10,10,10,58.6927547454834
trained_T1.5,1.5,22,10,10,10,9,38.791906118392944
trained_T1.5,1.5,23,10,10,10,9,37.57202625274658
trained_T1.5,1.5,24,10,10,10,10,36.58322596549988
