condition,temperature,task_id,tv_uniform,n_valid,n_total,valid_rate,top5
baseline,1.0,random_int_1_100,0.98,50,50,1.0,"42, 47, 1, 2, 3"
baseline,1.0,random_color,0.9,50,50,1.0,"blue, green, red, orange, yellow"
baseline,1.0,random_fruit,0.51,50,50,1.0,"banana, mango, apple, watermelon, peach"
baseline,1.0,random_int_1_10,0.88,50,50,1.0,"7, 4, 1, 2, 3"
baseline,1.0,random_int_1_1000,0.994,49,50,0.98,"427, 423, 462, 612, 643"
baseline,1.0,random_animal,0.68,50,50,1.0,"fox, bear, lion, tiger, whale"
baseline,1.0,random_first_name,0.625,48,50,0.96,"Grace, Olivia, Mia, Alice, Charlie"
baseline,1.0,random_word,0.8,50,50,1.0,"river, flower, ocean, forest, mountain"
baseline,1.0,random_emoji,0.8,46,50,0.92,"🐼, 🐻, 🦊, 🐱, 🐶"
baseline,1.0,random_card_suit,0.71,50,50,1.0,"Hearts, Diamonds, Spades, Clubs"
baseline,1.5,random_int_1_100,0.94,46,50,0.92,"42, 47, 67, 24, 27"
baseline,1.5,random_color,0.7413,46,50,0.92,"blue, purple, green, cyan, orange"
baseline,1.5,random_fruit,0.3957,47,50,0.94,"banana, apple, mango, cherry, orange"
baseline,1.5,random_int_1_10,0.8167,48,50,0.96,"7, 4, 3, 5, 1"
baseline,1.5,random_int_1_1000,0.981,48,50,0.96,"427, 423, 42, 172, 256"
baseline,1.5,random_animal,0.5798,47,50,0.94,"fox, bear, shark, tiger, lion"
baseline,1.5,random_first_name,0.5261,46,50,0.92,"Grace, Olivia, Charlie, Mia, Alice"
baseline,1.5,random_word,0.78,44,50,0.88,"flower, river, forest, ocean, garden"
baseline,1.5,random_emoji,0.7071,42,50,0.84,"🐼, 🐻, 🦊, 🐶, 🦋"
baseline,1.5,random_card_suit,0.6276,49,50,0.98,"Hearts, Diamonds, Spades, Clubs"
trained,1.0,random_int_1_100,0.6,50,50,1.0,"15, 36, 68, 46, 63"
trained,1.0,random_color,0.4276,49,50,0.98,"blue, gray, cyan, purple, magenta"
trained,1.0,random_fruit,0.25,50,50,1.0,"melon, grape, mango, kiwi, apple"
